words,label
id uld ldd stream containers hsd loading general berthing tons,
winds port per ports hour gulf_of_mexico high waves state knots,maritime transport
our years business growth world international next europe global markets,business
miles delta continental available_seat revenue_passenger airlines united airline us_airways northwest,airline
buy analyst earnings stock rating 1997 inc per estimate report,
vs n div note stated unless net dividend eps profit,
due port loading wheat load grain waiting delays 3 vessel,
= russian bhd russia ringgit svyazinvest malaysia malaysian 941 +7095,
singapore indonesia ltd thai thailand asia 65 singtel baht singapore_newsroom,asia
valujet faa crash flight safety twa airline investigators new_york plane,
aircraft boeing fleet airline planes airlines airbus 747 737 order,airline
labor state privatization party bill opposition election his public parliament,labor
june latest may telkom following listed prices stocks london corn,stocks
1997 profit results profits 1995 earnings growth net_profit loss costs,
rates kg average 100 range quoted prices per report current,
pesos philippine securities corp philippines inc pldt fax manila ote,
should if could under commission industry such any report statement,
97 tns 96 s'pore teus container 05 pt 08 g.cargo,
hotel hotels casino room marriott resorts properties rooms resort tourism,hotels
days waiting 3 discharging general_cargo berth port 4 anchorage delays,
strike union workers ups teamsters unions talks work labor employees,
542 171 cargo 7706 added freight 5017 air_cargo airlines airline,
oil ship tanker shipping ships vessel river port tons sea,maritime transport
privatization sale state stake sell percent_stake sold owned bid investors,
board chairman president his who at&t chief_executive management named allen,politics
tons down cargo pct 542 171 airports total airport handled,
alliance airlines ba american british_airways slots deal competition between american_airlines,
based 6 9 4 8 3 7 5 12 highest,
at&t fcc communications local commission long-distance sbc corp. bell merger,telecommunication
french francs france_telecom france de des paris generale 4221 sncf,europe
cents ltd sales high seen low index + gold change,
deal agreement inc acquisition merger under inc. agreed stock corp,
telecommunications mobile telecom network license mobile_phone gsm subscribers licenses monopoly,
india indian rupees foreign ltd bombay state pakistan domestic airlines,
express freight post delivery service fedex mail logistics post_office postal,shipping
japan japanese yen co_ltd tokyo corp gas rating williams ltd,asia
flights airline airport airlines air flight strike air_traffic friday passengers,
taiwan china direct shipping hong_kong mainland links taipei beijing chinese,
telecom New_York new_zealand london 1/2 64 4 fcl +0 1/4,
airport project airports city terminal construction authority facilities center international_airport,
dutch klm guilders 504 20 tnt kpn nedlloyd 5000 ptt,
his who i people she you world years out when,
calls rates international call rate israel charges telephone per bezeq,
airlines fares travel prices airline fuel costs fare iata price,
stock index investors trading stocks analysts trade points high gmt,stock
per ended loss income net_income expenses net revenues operating months,
100 5 125 50 45 55 3 30 price 75,
australia australian ltd telstra 61 ansett qantas 1800 sydney_newsroom owned,
conrail csx norfolk_southern merger shareholders cash offer deal stock bid,
police passengers people plane fire airport when officials injured crew,
shareholders offer issue per price capital offering securities stock cash,
air_france french air_liberte airline aeroflot russian moscow paris russia air,
171 stg 542 british london_newsroom_+44 pounds plc uk britain london,
day ads high low represents recorded jakarta_newsroom closed tel 20,media
tons hours 24 export import_cargo ships cargo compared gmt pakistan,
restaurants mcdonald restaurant sales food stores chain open store chicken,
port shipping ports container ships n ice tons terminal none,
network communications telecommunications wireless system telephone cellular systems contract digital,
could any spokesman i if talks comment do reuters declined,
stet italian italy lire state telecom_italia iri holding trillion alitalia,
0 3 6 april 20 5 8 4 9 7,
canadian canada air_canada plan toronto airline vancouver montreal bureau riga,north america
plane crash people flight crashed into aircraft officials air passengers,
strike drivers truckers france french day truck trucks transport unions,labor
eurotunnel debt tunnel fire french shareholders banks british restructuring deal,
china hong_kong ltd chinese 852 2843 shanghai yuan hong_kong_newsroom holdings,
rates cargo airlines added carriers demand rate increase hong_kong capacity,
commission eu european trade competition countries european_commission telecoms european_union deal,
options 1/2 corp stock trading adrs 1/4 traded inc rose,
mexico de mexican argentina telmex sa chile pesos panama peru,
net shr revs loss 1995 avg_shrs numbers data_above_000s_except_per_share note profit,
satellite television launch tv satellites digital space communications media broadcasting,
debt bank issue bond notes bonds last credit s&p basis,
german marks telekom germany ag lufthansa deutsche_telekom frankfurt deutsche 69,
cable c&w telecoms alliance wireless telecom unisource communications telecommunications global_one,
b h s = securities buy recommendations tata 22 icici,
312 408 8787 chicago_newsdesk service inc chicago corp new_york illinois,
brazil telebras reais brazilian sao_paulo state budapest concessions sao_paulo_newsroom 5511,
mci bt merger deal concert communications british_telecommunications_plc british_telecom telecoms british,
telefonica spanish spain 212 859 1610 pesetas new_york_newsdesk iberia 585,
yen vs current unless billions specified sales net loss eps,
ba airline staff pounds cabin_crew strike british_airways union virgin london,
flights between service air airline weekly route flight cargo airlines,
plc group_plc holdings_plc ltd trust_plc trust holdings corporation limited takeovers,
swissair belgian sabena swiss francs brussels 287 brussels_newsroom_+32 belgium 230,
pilots union american strike airline contract american_airlines board agreement association,
crowns sas swedish danish sweden newsroom statement stockholm finnish finnair,
tax pay budget insurance charges funds money fund fees payments,
agreement south_africa south_african united_states open air countries rand aviation between,
rail railway trains train line railways transport passenger bus system,
rose 1995 traffic total increased compared last_year passengers while passenger,
project state newsroom bank signed foreign official international officials contract,
due loading discharging 3 berthed roads 4 load waiting general_cargo,
aircraft airbus engines order engine a330 orders rolls-royce consortium jet,
itt hilton bid offer hotels corp. board shareholders assets sheraton,
earnings per revenues quarter second_quarter first_quarter results fourth_quarter third_quarter reported,
court against case filed ruling judge legal decision law lawsuit,
internet service computer information online network customers technology software access,
some if could i analysts do can industry out so,
ntt japan international yen japanese kdd nippon_telegraph telecom telephone_corp domestic
,